id;station_a;station_b;distance
;Nakło Śląskie;Tarnowskie Góry;3.739
;Tarnowskie Góry;Miasteczko Śląskie;6.338
;Miasteczko Śląskie;Kalety;7.746
;Kalety;Koszęcin;7.379
;Koszęcin;Rusinowice;5.915
;Rusinowice;Lubliniec;5.938
;Lubliniec;Kochcice-Glinica;5.107
;Kochcice-Glinica;Ciasna;5.239
;Ciasna;Sieraków Śląski;5.392
;Sieraków Śląski;Sowczyce;8.464
;Sowczyce;Olesno Śląskie;6.677
;Olesno Śląskie;Stare Olesno;5.034
;Stare Olesno;Bąków;6.585
;Bąków;Kluczbork;8.366
;Radomsko;Bobry;5.623
;Bobry;Widzów Teklinów;5.769
;Widzów Teklinów;Jacków;2.233
;Jacków;Kłomnice;5.443
;Kłomnice;Rzerzęczyce;2.405
;Rzerzęczyce;Rudniki koło Częstochowy;7.094
;Rudniki koło Częstochowy;Częstochowa Aniołów;8.116
;Częstochowa Aniołów;Częstochowa;3.929
;Tunel;Charsznica;7.793
;Charsznica;Gajówka;4.685
;Gajówka;Jeżówka;4.837
;Jeżówka;Wolbrom;4.981
;Wolbrom;Zarzecze;5.733
;Zarzecze;Chrząstowice Olkuskie;2.35
;Chrząstowice Olkuskie;Jaroszowiec Olkuski;5.365
;Jaroszowiec Olkuski;Olkusz;9.277
;Olkusz;Bukowno;8.517
;Bukowno;Bukowno Przymiarki;3.8
;Bukowno Przymiarki;Sławków;3.923
;Sławków;Dąbrowa Górnicza Wschodnia;4.68
;Dąbrowa Górnicza Wschodnia;Dąbrowa Górnicza Strzemieszyce;3.28
;Dąbrowa Górnicza Strzemieszyce;Sosnowiec Kazimierz;4.387
;Sosnowiec Kazimierz;Sosnowiec Porąbka;2.077
;Sosnowiec Porąbka;Sosnowiec Dańdówka;3.245
;Sosnowiec Dańdówka;Sosnowiec Południowy;3.802
;Sosnowiec Południowy;Katowice Szopienice Południowe;3.343
;Kędzierzyn-Koźle;Kędzierzyn-Koźle Azoty;4.527
;Kędzierzyn-Koźle Azoty;Bierawa;2.328
;Bierawa;Dziergowice;6.385
;Dziergowice;Kuźnia Raciborska;4.799
;Kuźnia Raciborska;Nędza;4.889
;Gliwice;Gliwice Łabędy;5.885
;Gliwice Łabędy;Gliwice Kuźnica;1.977
;Gliwice Kuźnica;Pyskowice;3.332
;Pyskowice;Paczyna;4.655
;Paczyna;Toszek;5.153
;Toszek;Ligota Toszecka;3.917
;Ligota Toszecka;Kotulin;2.412
;Kotulin;Błotnica Strzelecka;2.869
;Błotnica Strzelecka;Strzelce Opolskie;7.813
;Strzelce Opolskie;Szymiszów;6.073
;Szymiszów;Otmice;7.519
;Otmice;Tarnów Opolski;4.062
;Tarnów Opolski;Opole Groszowice;11.184
;Opole Groszowice;Opole Główne;3.553
;Gliwice Łabędy;Rzeczyce Śląskie;4.415
;Rzeczyce Śląskie;Taciszów;4.248
;Taciszów;Rudziniec Gliwicki;7.408
;Rudziniec Gliwicki;Sławięcice;6.644
;Sławięcice;Kędzierzyn-Koźle;8.462
;Kędzierzyn-Koźle;Raszowa;5.747
;Raszowa;Zdzieszowice;4.628
;Zdzieszowice;Jasiona;5.372
;Jasiona;Gogolin;5.633
;Gogolin;Górażdże;4.254
;Górażdże;Przywory Opolskie;5.77
;Przywory Opolskie;Opole Grotowice;3.425
;Opole Grotowice;Opole Groszowice;3.299
;Opole Główne;Opole Zachodnie;2.009
;Opole Zachodnie;Chróścina Opolska;5.699
;Chróścina Opolska;Dąbrowa Niemodlińska;5.355
;Dąbrowa Niemodlińska;Przecza;7.473
;Przecza;Lewin Brzeski;4.512
;Lewin Brzeski;Łosiów;5.671
;Łosiów;Brzeg;9.406
;Brzeg;Lipki;8.629
;Lipki;Oława;6.437
;Oława;Lizawice;7.353
;Lizawice;Zębice Wrocławskie;5.339
;Zębice Wrocławskie;Święta Katarzyna;3.769
;Święta Katarzyna;Wrocław Brochów;4.752
;Wrocław Brochów;Wrocław Główny;5.315
;Sucha Beskidzka;Stryszawa;4.161
;Stryszawa;Lachowice;2.079
;Lachowice;Lachowice Centrum;2.721
;Lachowice Centrum;Kurów Suski;3.404
;Kurów Suski;Hucisko;3.198
;Hucisko;Pewel Wielka;3.298
;Pewel Wielka;Pewel Wielka Centrum;2.385
;Pewel Wielka Centrum;Jeleśnia;2.767
;Jeleśnia;Pewel Mała;3.607
;Pewel Mała;Żywiec Sporysz;4.3
;Żywiec Sporysz;Żywiec;3.233
;Kalwaria Zebrzydowska Lanckorona;Kalwaria Zebrzydowska;1.51
;Kalwaria Zebrzydowska;Barwałd Górny;4.377
;Barwałd Górny;Barwałd Średni;2.063
;Barwałd Średni;Klecza Górna;3.268
;Klecza Górna;Klecza Dolna;3.144
;Klecza Dolna;Wadowice;3.121
;Wadowice;Wadowice Osiedle Podhalanin;1.748
;Wadowice Osiedle Podhalanin;Chocznia;2.747
;Chocznia;Chocznia Górna;1.995
;Chocznia Górna;Inwałd;3.78
;Inwałd;Andrychów;2.717
;Andrychów;Andrychów Górnica;3.254
;Andrychów Górnica;Bulowice;3.172
;Bulowice;Zamek Bulowicki;2.062
;Zamek Bulowicki;Kęty;2.976
;Kęty;Kęty Podlesie;2.119
;Kęty Podlesie;Kozy Zagroda;3.912
;Kozy Zagroda;Kozy;2.09
;Kozy;Krzemionki;2.197
;Krzemionki;Bielsko-Biała Wschód;4.801
;Bielsko-Biała Wschód;Bielsko-Biała Główna;1.368
;Mysłowice;Jaworzno Szczakowa;12.413
;Jaworzno Szczakowa;Jaworzno Ciężkowice;5.067
;Jaworzno Ciężkowice;Balin;5.214
;Balin;Trzebinia;5.625
;Trzebinia;Dulowa;5.073
;Dulowa;Wola Filipowska;4.323
;Wola Filipowska;Krzeszowice;3.985
;Krzeszowice;Rudawa;6.537
;Rudawa;Zabierzów;5.881
;Zabierzów;Kraków Business Park;2.245
;Kraków Business Park;Kraków Mydlniki Wapiennik;2.194
;Kraków Mydlniki Wapiennik;Kraków Mydlniki;1.35
;Kraków Mydlniki;Kraków Bronowice;2.425
;Kraków Bronowice;Kraków Łobzów;1.801
;Kraków Łobzów;Kraków Główny;2.974
;Kielce;Kielce Herbskie;2.255
;Kielce Herbskie;Kielce Ślichowice;1.469
;Kielce Ślichowice;Górki Szczukowskie;4.613
;Górki Szczukowskie;Piekoszów;5.681
;Piekoszów;Rykoszyn;5
;Rykoszyn;Wierna Rzeka;4.718
;Wierna Rzeka;Małogoszcz;3.571
;Małogoszcz;Bukowa;5.232
;Bukowa;Ludynia;4.161
;Ludynia;Ludynia Dwór;3.868
;Ludynia Dwór;Włoszczowa;7.168
;Włoszczowa;Czarnca;5.3
;Czarnca;Żelisławice;6.681
;Żelisławice;Koniecpol;11.762
;Koniecpol;Koniecpol Magdasz;3.376
;Koniecpol Magdasz;Podlesie;3.654
;Podlesie;Staropole Częstochowskie;5.427
;Staropole Częstochowskie;Julianka;3.953
;Julianka;Lusławice;6.074
;Lusławice;Turów;5.717
;Turów;Kusięta Nowe;4.538
;Kusięta Nowe;Częstochowa Raków;8.883
;Lubliniec;Paczyna;36.529
;Zawiercie;Włoszczowa Północ;69.66
;Włoszczowa Północ;Opoczno Południe;62.248
;Opoczno Południe;Grodzisk Mazowiecki;92.137
;Kozłów;Włoszczowa Północ;51.721
;Kozłów;Koniecpol;44.390
;Koluszki;Chrusty Nowe;5.817
;Chrusty Nowe;Rokiciny;3.165
;Rokiciny;Łaznów;4.475
;Łaznów;Wolbórka;4.748
;Wolbórka;Baby;6.545
;Baby;Moszczenica;3.899
;Moszczenica;Jarosty;4.702
;Jarosty;Piotrków Trybunalski;5.697
;Piotrków Trybunalski;Milejów;6.147
;Milejów;Rozprza;6.15
;Rozprza;Luciążanka;2.894
;Luciążanka;Wilkoszewice;3.1
;Wilkoszewice;Gorzkowice;4.185
;Gorzkowice;Gorzędów;4.942
;Gorzędów;Kamieńsk;3.344
;Kamieńsk;Gomunice;2.69
