id;station_a;station_b;distance
;Częstochowa Gnaszyn;Blachownia;4.814
;Częstochowa Raków;Częstochowa;3.655
;Częstochowa Raków;Częstochowa Stradom;5.09
;Częstochowa Stradom;Częstochowa Gnaszyn;5.74
;Częstochowa Stradom;Opoczno Południe;128.164
;Częstochowa;Częstochowa Stradom;2.598
;Człuchów;Biskupnica;11.184
;Czudec;Zaborów Błonia;2.674
;Czuprynowo;Kuźnica Białostocka;4.489
;Czyżew;Kity;6.229
;Czyżowice;Bełsznica;4.334
;Ćmielów;Jakubowice;13.63
;Dalanówek;Wkra;7.415
;Dalekie;Zygmuntowo Mazowieckie;5.434
;Daleszewo;Szczecin Podjuchy;7.426
;Dalęcino;Przeradz;5.432
;Damnica;Jezierzyce Słupskie;9.6
;Daniszyn;Łąkociny;3.954
;Dankowice;Kaniów;2.441
;Daszewo;Wrzosowo;4.773
;Dąbie koło Dębicy;Tuszyma;1.868
;Dąbkowizna;Radzymin;6.153
;Dąbroszyn;Kamień Mały;5.352
;Dąbrowa Białostocka;Kamienna Nowa;9.261
;Dąbrowa Chełmińska;Gzin;3.902
;Dąbrowa Górnicza Gołonóg;Dąbrowa Górnicza Pogoria;1.328
;Dąbrowa Górnicza Pogoria;Dąbrowa Górnicza Ząbkowice;2.502
;Dąbrowa Górnicza Południowa;Dąbrowa Górnicza Ząbkowice;7.537
;Dąbrowa Górnicza Sikorka;Chruszczobród;2.645
;Dąbrowa Górnicza Strzemieszyce;Sosnowiec Kazimierz;4.387
;Dąbrowa Górnicza Wschodnia;Dąbrowa Górnicza Strzemieszyce;3.28
;Dąbrowa Górnicza Ząbkowice;Dąbrowa Górnicza Sikorka;3.694
;Dąbrowa Górnicza;Dąbrowa Górnicza Gołonóg;3.399
;Dąbrowa Niemodlińska;Przecza;7.473
;Dąbrowa Oleśnicka;Dobroszyce;4.444
;Dąbrowa-Łazy;Szepietowo;6.583
;Dąbrowice Skierniewickie;Maków;4.017
;Dąbrowy;Czersk Świecki;4.22
;Dąbrówka Jezioro Mucharskie;Zembczyce;5.213
;Dąbrówka Malborska;Gronajny;2.825
;Dąbrówka Wielkopolska;Chociszewo Rogoziniec;3.903
;Dąbrówka Zabłotnia;Ruda Wielka;0.763
;Deszczno;Gorzów Wielkopolski Karnin;2.574
;Dęba Opoczyńska;Radzice;10.197
;Dęba Rozalin;Nowa Dęba;1.486
;Dębe Wielkie;Nowe Dębe Wielkie;1.344
;Dębica Wschodnia;Lubzina;5.87
;Dębica;Pustynia;4.852
;Dębica;Dębica Wschodnia;3.296
;Dęblin;Zajezierze koło Dęblina;5.601
;Dęblin;Skoki-Borowa;4.628
;Dębska Kuźnia;Chrząstowice;2.857
;Dębska Wola;Włoszczowice;5.56
;Długi Kąt;Nowiny;5.599
;Długie;Nowosielce;3.265
;Długołęka;Borowa Oleśnicka;5.911
;Długopole-Zdrój;Domaszków;3.413
;Dobczyn;Klembów;3.28
;Dobiegniew;Bierzwnik;8.713
;Dobieszyn;Kruszyna;6.548
